Gender,fav_cuisine,eating_out,exercise,weight,GPA
2,arabic cuisine,3,1.0,187.0,2.4
1,italian,2,1.0,155.0,3.654
1,italian,2,1.0,190.0,3.5
1,african,1,2.0,190.0,2.25
2,thai,2,1.0,180.0,3.8
1,anything american style.,2,2.0,137.0,3.3
1,seafood,5,,180.0,3.3
1,italian,3,1.0,125.0,3.3
1,orange chicken and chow mani noodles,2,1.0,116.0,3.5
1,italian,1,1.0,110.0,3.904
2,chinese,1,3.0,264.0,3.4
1,italian,4,2.0,123.0,3.6
2,chinese,2,2.0,185.0,3.1
2,italian food,4,1.0,180.0,
1,jamaican,1,2.0,145.0,4.0
2,american or italian,2,1.0,170.0,3.6
1,chicken,3,3.0,135.0,3.4
2,italian,2,2.0,165.0,2.2
2,mexican,4,1.0,175.0,3.3
2,indian,1,1.0,195.0,3.87
2,italian,1,1.0,185.0,3.7
2,asian,2,3.0,185.0,3.7
1,chinese,4,,105.0,3.9
1,don't have one,2,1.0,125.0,2.8
2,italian food,2,1.0,160.0,3.7
2,mexican,2,1.0,175.0,3.0
2,italian/german,2,2.0,180.0,3.2
2,indian food - samosas are amazing,5,2.0,167.0,3.5
1,mexican,3,2.0,115.0,4.0
2,italian,2,2.0,205.0,4.0
1,italian,2,3.0,128.0,2.8
1,french,3,1.0,150.0,3.65
1,american or italian,2,1.0,150.0,3.0
1,italian or chinese,4,1.0,150.0,3.7
1,italian,2,3.0,170.0,3.4
1,italian,2,2.0,150.0,3.89
2,mexican,5,1.0,175.0,3.0
2,italian,2,1.0,140.0,3.4
1,italian,4,1.0,120.0,2.9
1,italian,2,,135.0,3.6
1,chinese,1,,100.0,3.5
1,thai food,2,1.0,170.0,3.2
1,greek,2,,113.0,3.605
2,italian,2,2.0,168.0,3.8
2,italian,2,1.0,145.0,2.8
2,asian,2,1.0,155.0,3.5
2,italian,2,2.0,150.0,3.83
2,american,2,1.0,169.0,3.6
2,all,3,1.0,185.0,3.3
2,mexican,5,1.0,200.0,3.3
2,sub sandwhiches,3,,265.0,3.292
2,italian,3,1.0,165.0,3.5
1,italian,5,1.0,192.0,3.35
2,thai,4,1.0,175.0,3.8
1,wraps,3,1.0,140.0,2.8
1,mexican,2,2.0,155.0,3.5
1,italian,2,,155.0,3.7
1,mexican,5,1.0,135.0,3.6
1,mexican,2,2.0,118.0,
2,italian,5,1.0,210.0,3.9
1,italian,4,1.0,180.0,2.6
1,chinese cuisine (general tso's),3,1.0,140.0,3.5
1,italian,3,2.0,112.0,3.2
1,american,2,,125.0,3.0
1,italian,1,1.0,145.0,3.2
1,italian,2,2.0,130.0,3.67
1,italian,1,2.0,140.0,3.73
1,italian,1,1.0,140.0,4.0
2,lean,1,2.0,140.0,3.1
2,mexican,4,1.0,200.0,
1,italian,2,1.0,120.0,3.0
1,american,2,2.0,150.0,3.7
2,american,2,2.0,200.0,3.1
1,japanese,2,1.0,135.0,3.0
2,chinese,1,1.0,145.0,3.9
1,italian,3,2.0,130.0,3.4
1,italian,3,1.0,190.0,3.5
1,italian,5,1.0,170.0,3.7
1,any type of colombian cuisine,2,,127.0,3.7
1,mexican cuisine,2,1.0,167.0,3.83
1,asian,3,3.0,140.0,2.6
1,chinese food,1,2.0,190.0,3.0
2,mac and cheese,2,1.0,155.0,3.2
2,mexican,1,1.0,175.0,3.5
1,authentic chinese and vietnamese food,2,1.0,129.0,3.2
2,italian and chinese,2,1.0,260.0,3.68
1,american,3,2.0,135.0,3.8
2,barbecue,5,3.0,190.0,3.3
2,italian,2,3.0,165.0,3.2
2,lebanese or greek,2,1.0,175.0,3.75
2,american,2,1.0,184.0,3.5
2,italian,2,2.0,210.0,3.92
1,italian,2,1.0,155.0,3.9
2,italian,5,2.0,185.0,3.9
1,italian,3,,165.0,3.2
1,italian,2,2.0,125.0,3.5
1,sushi,2,3.0,160.0,3.4
1,italian,3,1.0,135.0,
1,indian food,2,2.0,130.0,3.7
1,italian,2,,230.0,
1,italian,3,2.0,125.0,3.0
1,nepali,5,2.0,130.0,3.0
1,i really love italian food and thai food,2,1.0,165.0,3.8
1,italian,2,1.0,128.0,3.8
1,italian,3,3.0,200.0,3.4
1,italian,4,2.0,160.0,3.7
2,,2,2.0,170.0,2.9
1,italian,4,1.0,129.0,3.9
1,italian,3,2.0,170.0,3.6
2,korean,3,2.0,138.0,2.8
2,i do not like cuisine,2,1.0,150.0,3.3
1,chinese,4,2.0,170.0,3.4
1,vietnamese cuisine,2,,113.0,3.77
1,american,2,2.0,140.0,3.63
2,indian,2,2.0,185.0,3.2
1,italian,2,2.0,156.0,3.5
1,mexican food,4,2.0,180.0,3.0
1,korean,3,2.0,120.0,3.882
2,italian,5,1.0,135.0,3.0
1,hispanic cuisine.,1,2.0,135.0,3.9
